username,retweet_count,reply_count,like_count,quote_count,url,text,created_at,id,conversation_id
SSBreaker,0,0,1,0,https://www.saltwire.com/opinion/local-perspectives/grant-frost-closing-nova-scotia-schools-simplest-solution-to-slew-of-covid-19-problems-424183/,GRANT FROST:  Closing Nova Scotia schools simplest solution to slew of COVID-19 problems https://t.co/mVBpMLRpM6,2020-03-14T15:43:05.000Z,1238853160984346624,1238853160984346624
SSBreaker,0,0,0,0,https://www.saltwire.com/opinion/local-perspectives/jim-vibert-nova-scotia-escapes-muskrat-falls-fallout-423994/,JIM VIBERT: Nova Scotia escapes Muskrat Falls fallout https://t.co/lx75xWfyK9,2020-03-14T12:20:09.000Z,1238802091596042241,1238802091596042241
SSBreaker,0,0,0,0,https://www.saltwire.com/opinion/local-perspectives/john-demont-visiting-the-vulnerable-an-exercise-in-compassion-and-vigilance-424137/,JOHN DeMONT: Visiting the vulnerable — an exercise in compassion and vigilance https://t.co/skLzv4ecKW,2020-03-14T11:33:05.000Z,1238790248345284610,1238790248345284610
SSBreaker,3,0,0,0,https://www.saltwire.com/opinion/local-perspectives/jason-edwards-denying-paid-sick-days-is-callous-disregard-for-nova-scotian-workers-424132/,JASON EDWARDS: Denying paid sick days is callous disregard for Nova Scotian workers https://t.co/VH0FrTNC9d,2020-03-14T10:46:05.000Z,1238778418994524163,1238778418994524163
SSBreaker,0,0,0,0,https://www.saltwire.com/opinion/local-perspectives/dr-gus-grant-doctors-freed-up-to-fight-coronavirus-423868/,DR. GUS GRANT: Doctors freed up to fight coronavirus https://t.co/RoPqSbdC3P,2020-03-14T09:59:06.000Z,1238766597390680064,1238766597390680064
SSBreaker,0,0,0,0,https://www.saltwire.com/opinion/local-perspectives/gail-lethbridge-pandemic-protocol-keep-calm-and-carry-on-423559/,GAIL LETHBRIDGE: Pandemic protocol — keep calm and carry on https://t.co/NMP4BcaOGl,2020-03-14T09:12:06.000Z,1238754767565926400,1238754767565926400
SSBreaker,1,0,0,0,https://www.saltwire.com/business/regional-business/amherst-companys-soft-yet-firm-pillows-enjoying-solid-growth-across-canada-423216/,"Amherst company's soft, yet firm pillows enjoying solid growth across Canada https://t.co/IPgkOpnVvc",2020-03-13T21:44:06.000Z,1238581626969501697,1238581626969501697
SSBreaker,0,0,0,0,https://www.saltwire.com/news/local/update-canadians-urged-to-avoid-international-travel-large-events-ottawa-promises-significant-stimulus-package-423865/,"UPDATE: Canadians urged to avoid international travel, large events; Ottawa promises 'significant' stimulus package https://t.co/MfLaD7jB5n",2020-03-13T20:57:06.000Z,1238569801380962305,1238569801380962305
SSBreaker,0,0,0,0,https://www.saltwire.com/business/local-business/covid-19-lobster-fishery-temporary-shutdown-proposed-for-lfas-33-and-34-due-to-collapse-of-markets-423652/,COVID-19: Lobster fishery temporary shutdown proposed for LFAs 33 and 34 due to 'collapse' of markets https://t.co/B3YbStUN3V,2020-03-13T19:10:11.000Z,1238542891859001348,1238542891859001348
trurodaily,0,0,0,0,https://www.saltwire.com/nova-scotia/news/portapique-community-hall-project-hitting-new-phases-100752942/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1657728408,Portapique Community Hall project hitting new phases | SaltWire https://t.co/KXafV0i5hy,2022-07-13T16:18:11.000Z,1547254071148560384,1547254071148560384
trurodaily,0,0,0,0,https://www.saltwire.com/atlantic-canada/weather/atlantic-regional-weather-forecast-july-13-2022-100629371/,"Your short-term weather forecast in Nova Scotia for July 13, 2022
https://t.co/mSDJB7TMZb https://t.co/Gr9vljvP3T",2022-07-13T15:01:12.000Z,1547234698384052229,1547234698384052229
